lcontext,lcontext_highlight,n,rcontext,rcontext_highlight,source,date
,,,,,,
"Ментальные и
перцептивно-ментальные предикаты Из всей их беседы не извлек я",извлек,ни шиша,. ,,А. В. Дружинин. Дневник,1845
"Жаль Сая , а что же будет с новым главнокомандующим , генерал-губернатором Гуандуна , который при 60 с лишком своих",,ни шиша,. ,,К. А. Скачков. Мой дневник,1852
,,ни шиша,"не  смыслю  [Гр. А.. Кушелев-Безбородко,Григорий Евлампиевич
Благосветлов. Русское слово, Том 1 (1859)] Впрочем , я",,Ф. М. Достоевский. Записки из подполья,1864
"― Был , брат , я у этих господ ; звали",,ни шиша,"нашего
простого народа не понимают : пейзанчики у них все в голове - ей-богу , а не то , что наш мужичок , ― с деготьком да луком . ",понимают,А. Ф. Писемский. Люди сороковых годов,1869
,,Ни шиша,", грю , не понимаю . Чего б , мол , тебе по нашему - как я , говорить ? ",понимаю,Е. И. Замятин. На куличках,1913
"В производстве Воробушек , как говорили , &laquo;",,ни шиша,не понимал &raquo;. ,не,П. П. Бажов. Очерки. Уральские были,1923-1924
Она поступила счетоводом - но,,ни шиша,"в этом деле , помоему впечатлению , не понимает . ",понимает,Г. С. Эфрон. Дневники. Т. 1. 1941,1941
Она,,ни шиша,в этом не понимает . ,понимает,Г. С. Эфрон. Дневники. Т. 1. 41,1941
Первое дело порода: это ведь он ,,ни шиша,"  не  постигает .  [Успенский Глеб Иванович.
Нравы Растеряевой улицы (1955) ",постигает,,
― Не,,ни шиша,"в литейных машинах , ― сказал Коля , выпрямляясь и все еще не глядя на Дмитрия Алексеевича .  ",,Владимир Дудинцев. Не хлебом единым,1956
"Дела затевает большие , а знать ―",,ни шиша,не знает . ,знает,Владимир Дудинцев. Не хлебом единым,1956
"Ломоносов спрашивает:
&#8212; А вы-то, вы-то, господа астрономы, неужто ",,ни шиша, не  заметили  в своей академической?   ,заметили,Звезда,1961
,,Ни шиша,". Вот так... И вам, дорогие товарищи, придется потом расплачиваться за свою
совесть.   ",,"Новый мир, Выпуски 7-12",1963
"Я то и дело выскакиваю смотреть Райку , щупаю ее теплое брюхо , хоть",,ни шиша,не смыслю в этом . ,смыслю,Василий Шукшин. Из детских лет Ивана Попова,1960-1971
,,ни шиша,"во всем
этом не смыслю , за счет моей скромности . ",смыслю,Юлий Даниэль. Письма из заключения,1966-1970
,,Ни шиша,"он , тот артист , не ведает , не понимает ! ",ведает,Виктор Астафьев. Последний поклон,1968-1991
"Конечно , полюбоваться можно , особенно кто не",,ни шиша,.  ,,Василий Шукшин. И разыгрались же кони в поле,1968
"С собакой хорошо ― помогает лучше человека , если он",,ни шиша,"не
 понимает в этом деле . ",понимает,Гавриил Троепольский. Белый Бим черное ухо,1971
,,Ни шиша,не понял .  ,понял,Ю. В. Трифонов. Исчезновение,1981
"Нет, не совсем, говорит этот журналист, а видно, что вообще",,ни шиша,не  ,,,
,,ни шиша,,,,
,,ни шиша,,,,
И скажи : Спартак Петрович,,ни шиша,"не понял из того , что я ему
молол . ",понял,Владимир Дудинцев. Белые одежды / Третья часть,1987
,,,,,Василий Аксенов. Негатив положительного героя,1996
"Даже из шушенского шалаша скажешь:
шалишь, не  видал",видал,ни шиша,! [Встреча: выпуски 31-42. (1996) ,,,
"Одетта-то хитрые чиселки так и не
осилила, потому Сьюзи и не ",,ни шиша,".  [Стивен Кинг, Покидаева Т. Ю. Темная башня. Часть 3. Бесплодные земли
(1997)] ",,,
"&laquo;Вот период какой &#8212; моя молодость &#8212;
ведь",,ни шиша,не  верили  &#8212; вот колокола снимали.  [Родина: изд. Газеты &laquo;Правда&raquo;. (1997) ,верили,,
"Щедродаров (т.е. Щедрин
&#8211; О.) м",,ни шиша,", но в которых как бы
намекалось на что-то...  [Дмитрий
Галковский. Бесконечный тупик. (1997) ",,,
"Которое кое-что значит для того, кто
его носит, и для других, чей век так же короток, но сверх этого &#8212;",,ни шиша,. Оно,,,
"Это же  бесплатное  путешествие,",бесплатное,ни шиша,не стоит. [Диалог: выпуски 1-6. (1998) ,,,
"То и дело слышишь в магазинах и на улице : &laquo; козлы ,",,ни шиша,"по-нашему не волокут . Слушай , сколько мы уже к ним ездим , а они все никак русский выучить не могут &raquo;.  [Л. Измайлов. Свинство (1999) ",волокут,,
Только я про него,,ни шиша,не слышал .  ,слышал,Дмитрий Каралис. Автопортрет,1999
,,ни шиша,  не ,,Ольга Некрасова. Платит последний,2000
,,Ни шиша,"выдающегося , как ни напрягаешься , вспомнить не получается . ] ",вспомнить,"Евгений АНИСИМОВ. Правда о нашем бюджете // Комсомольская правда,",2001.01.31
"Кстати , сказал , что и его флажковых отмашек я",,ни шиша,"не
 понимаю . ",понимаю,"Киев бомбили, нам объявили...","2003) // &laquo;Богатей&raquo; (Саратов), (2003.03.20"
"Если стоять посредине этого музыкального пространства , то",,ни шиша,"не поймешь . [Юрий СНЕГИРЁВ, Александр МЕШКОВ, Фото Юрия СНЕГИРЕВА и Романа АЛЕКСЕЕВА.
&laquo;Нашествие&raquo;: спето и выпито все // Комсомольская правда, (2005.08.08)] какого черта вы берете догадки из
головы, когда речь идет о смерти человека, о котором вы ",поймешь,,
Славяно-ведическую культуру развивать? Так я в ней не ,,ни шиша,Жалко тока по русски ,,,
,,ни шиша,  не  понимаю  о чем ты в песнях страдаешь )))  [ .   ,понимаю ,,
"Кирилл чувствовал , что Гугер и Валерий",,ни шиша,"ему не верят . [Алексей Иванов (Алексей Маврин).
Псоглавцы. Гл. 21-39 (2011)]",верят,,
,,ни шиша,не,,Владимир Численский. Gloria Dei,2011
,,ни шиша,"  не  понимает  в политике.  [Илья &quot;Чёрт&quot; Кнабенгоф. Илья &laquo;Черт&raquo;, группа &laquo;ПИЛОТ&raquo;: &laquo;Врач нужен
больным, а не здоровым&raquo; (2011)] ",понимает,,
